Timestamp,Pressure (PSI),Flow Rate (bbl/h),Temperature (F),Wear Factor (%),Valve Status,Pump Speed (RPM),Vibration Level (mm/s),Corrosion Level (%),Leak Detected,Oil Quality,Pressure Loss (PSI),Pump Efficiency (%),Humidity (%),Ambient Temperature (F),Distance from Source (km),Last Maintenance,Pressure Regulator Status,Flow Control Valve (%),Oil Density (g/cm³),Oil Viscosity (cP),Pipeline Altitude (m),Pipeline Diameter (m),Sand Content (ppm),Pipeline Coating Condition (%),Oil Sulfur Content (%),Scheduled Maintenance,Anomaly
2023-09-11 20:01:36.333851,793.69,429.58,123.78,0.11,closed,1782.14,3.12,0.05,0,Medium,5.47,93.24,46.45,55.27,70.19,2023-06-28 15:01:36,inactive,71.75,0.895,14.03,479.63,1.12,3.57,99.89,1.59,0,0
2023-09-11 20:31:36.333851,864.22,372.04,108.61,0.12,open,1595.94,2.84,0.06,0,Light,1.36,96.07,48.59,79.97,52.32,2023-06-28 15:01:36,inactive,88.09,0.916,20.84,524.0,0.94,4.05,99.88,1.82,0,0
2023-09-11 21:01:36.333851,806.18,403.62,84.69,0.13,closed,1656.2,2.83,0.06,0,Light,7.14,84.94,53.34,42.24,58.29,2023-06-28 15:01:36,active,104.52,0.864,29.45,520.64,1.05,5.11,99.87,1.49,0,0
2023-09-11 21:31:36.333851,789.74,501.77,93.7,0.14,closed,1761.26,2.59,0.07,0,Light,4.48,90.78,45.84,69.38,51.34,2023-06-28 15:01:36,active,66.79,0.918,31.92,441.25,0.93,3.61,99.86,1.8,0,0
2023-09-11 22:01:36.333851,745.54,438.44,102.12,0.15,open,1711.86,3.55,0.07,0,Heavy,8.37,95.14,46.29,62.06,62.67,2023-06-28 15:01:36,active,80.2,0.932,24.39,510.39,0.98,4.27,99.85,1.89,0,0
2023-09-11 22:31:36.333851,805.23,466.21,106.64,0.16,closed,1786.65,2.3,0.08,0,Light,4.24,89.58,57.57,81.62,36.91,2023-06-28 15:01:36,inactive,86.14,0.892,19.3,508.76,1.06,5.07,99.84,1.71,0,0
2023-09-11 23:01:36.333851,795.47,341.52,115.47,0.17,closed,1762.53,3.44,0.09,0,Medium,2.62,89.11,52.72,53.48,39.39,2023-06-28 15:01:36,inactive,84.24,0.848,13.64,388.49,0.97,6.42,99.83,0.99,0,0
2023-09-11 23:31:36.333851,805.98,407.04,93.93,0.18,closed,1745.19,3.77,0.09,0,Light,8.32,86.28,48.19,87.45,40.56,2023-06-28 15:01:36,inactive,90.69,0.843,17.26,638.79,1.01,4.58,99.82,1.65,1,0
2023-09-12 00:01:36.333851,779.22,328.86,85.57,0.19,closed,1670.74,3.68,0.1,0,Heavy,2.75,87.31,60.68,87.47,56.24,2023-06-28 15:01:36,inactive,74.64,0.89,14.56,402.28,0.82,4.08,99.81,1.99,1,0
2023-09-12 00:31:36.333851,865.77,450.28,70.14,0.2,open,1886.76,2.78,0.1,0,Medium,5.52,86.65,31.72,58.06,43.52,2023-06-28 15:01:36,inactive,69.04,0.944,18.86,413.33,1.02,2.78,99.8,2.46,0,0
2023-09-12 01:01:36.333851,798.25,410.67,114.03,0.21,closed,1672.36,2.43,0.11,0,Light,7.1,96.75,40.08,66.9,42.49,2023-06-28 15:01:36,inactive,84.49,0.948,23.67,486.69,0.93,4.66,99.79,2.83,0,0
2023-09-12 01:31:36.333851,820.61,404.42,100.83,0.22,open,1789.2,2.71,0.11,0,Medium,3.56,93.05,47.8,73.71,52.33,2023-06-28 15:01:36,active,67.18,0.878,21.66,491.42,0.97,3.79,99.78,1.6,0,0
2023-09-12 02:01:36.333851,854.86,413.16,118.87,0.23,closed,1730.19,3.03,0.12,0,Light,5.57,80.53,45.87,62.3,41.59,2023-06-28 15:01:36,inactive,85.67,0.866,18.61,519.25,0.94,5.44,99.77,2.96,1,0
2023-09-12 02:31:36.333851,772.48,351.6,123.23,0.24,open,1845.14,2.8,0.12,0,Light,3.42,91.88,41.77,61.54,56.59,2023-06-28 15:01:36,inactive,87.85,0.959,24.39,543.61,1.06,4.54,99.76,2.32,0,0
2023-09-12 03:01:36.333851,854.64,386.84,126.87,0.25,open,1751.91,3.37,0.13,0,Heavy,4.68,92.0,57.25,80.38,52.11,2023-06-28 15:01:36,inactive,69.56,0.914,18.77,527.52,0.88,6.73,99.75,2.11,0,0
2023-09-12 03:31:36.333851,811.6,467.75,105.16,0.26,open,1887.43,3.59,0.13,0,Light,3.89,92.58,61.14,86.41,53.83,2023-06-28 15:01:36,active,81.12,0.829,20.18,408.72,0.87,5.18,99.74,2.36,0,0
2023-09-12 04:01:36.333851,830.04,366.88,116.48,0.27,closed,1797.44,2.21,0.14,0,Medium,7.03,76.21,32.97,84.76,48.49,2023-06-28 15:01:36,inactive,72.11,0.971,22.67,485.44,1.11,5.31,99.73,2.08,1,0
2023-09-12 04:31:36.333851,836.18,375.52,135.77,0.28,closed,1706.57,2.91,0.14,0,Medium,7.76,90.51,38.17,66.07,58.49,2023-06-28 15:01:36,active,73.78,0.819,25.38,513.39,1.02,4.69,99.72,1.75,0,0
2023-09-12 05:01:36.333851,811.75,367.37,120.08,0.29,closed,1640.33,2.76,0.15,0,Medium,5.62,85.58,53.91,70.53,49.31,2023-06-28 15:01:36,inactive,85.47,0.992,19.7,527.59,0.88,3.19,99.71,3.35,0,0
2023-09-12 05:31:36.333851,735.52,422.39,127.43,0.3,closed,1822.83,2.44,0.15,0,Light,5.13,83.9,65.57,78.39,40.39,2023-06-28 15:01:36,inactive,87.22,0.892,14.69,538.04,0.88,4.1,99.7,2.42,0,0
2023-09-12 06:01:36.333851,829.2,401.44,109.79,0.31,open,1781.4,2.09,0.16,0,Medium,5.22,83.78,37.67,61.72,50.76,2023-06-28 15:01:36,inactive,84.02,0.917,15.94,482.12,1.02,4.08,99.69,1.73,0,0
2023-09-12 06:31:36.333851,745.25,332.92,110.83,0.32,open,1813.88,2.54,0.16,0,Medium,6.02,90.16,48.55,94.95,54.37,2023-06-28 15:01:36,inactive,60.96,0.777,22.54,486.55,1.03,4.32,99.68,1.88,0,0
2023-09-12 07:01:36.333851,856.89,453.45,110.63,0.33,open,1736.25,2.39,0.17,0,Medium,7.08,93.3,62.62,77.51,46.54,2023-06-28 15:01:36,inactive,83.03,0.988,26.77,526.79,0.84,5.89,99.67,1.9,0,0
2023-09-12 07:31:36.333851,840.29,386.64,93.08,0.34,closed,1730.84,2.69,0.17,1,Medium,7.74,87.51,76.56,79.45,50.61,2023-06-28 15:01:36,active,98.11,0.795,17.54,451.17,1.05,4.63,99.66,1.97,0,0
2023-09-12 08:01:36.333851,813.58,333.6,121.96,0.35,closed,1896.78,4.08,0.18,0,Medium,3.92,82.53,31.09,91.76,44.52,2023-06-28 15:01:36,inactive,74.62,0.923,21.81,454.08,0.93,4.67,99.65,3.14,0,0
2023-09-12 08:31:36.333851,864.24,362.14,112.81,0.36,open,1820.53,2.98,0.18,1,Heavy,7.98,92.78,50.88,69.06,58.57,2023-06-28 15:01:36,active,83.21,0.929,25.83,488.24,1.06,4.44,99.64,1.16,0,0
2023-09-12 09:01:36.333851,773.02,450.78,80.81,0.37,closed,1813.02,2.09,0.19,0,Medium,6.03,88.76,53.55,78.03,58.85,2023-06-28 15:01:36,inactive,70.1,0.963,26.03,526.96,0.99,5.78,99.63,2.89,1,0
2023-09-12 09:31:36.333851,827.67,426.49,103.67,0.38,open,1781.06,2.92,0.19,0,Heavy,2.85,83.62,57.0,74.26,62.34,2023-06-28 15:01:36,active,84.86,0.898,14.88,446.16,0.97,6.18,99.62,2.6,0,0
2023-09-12 10:01:36.333851,842.14,296.79,103.4,0.39,open,1902.76,2.89,0.2,0,Medium,5.2,85.92,39.05,81.41,58.01,2023-06-28 15:01:36,inactive,71.46,0.962,18.21,580.63,1.07,5.21,99.61,1.83,0,0
2023-09-12 10:31:36.333851,733.86,434.98,77.59,0.4,closed,1767.55,2.96,0.2,0,Medium,4.35,84.37,37.0,66.76,56.15,2023-06-28 15:01:36,active,91.76,0.991,27.24,515.89,0.79,4.22,99.6,2.29,0,0
2023-09-12 11:01:36.333851,803.22,412.29,96.46,0.41,open,1957.49,1.91,0.21,0,Medium,6.55,88.81,37.49,79.32,46.25,2023-06-28 15:01:36,inactive,68.14,0.89,19.68,520.45,0.95,4.33,99.59,2.03,0,0
2023-09-12 11:31:36.333851,809.75,386.45,96.79,0.42,closed,1671.38,2.28,0.21,0,Heavy,3.29,99.3,53.05,59.05,57.16,2023-06-28 15:01:36,active,80.39,0.892,15.82,508.7,1.0,5.48,99.58,1.91,0,0
2023-09-12 12:01:36.333851,811.71,455.61,129.99,0.43,open,1810.93,2.42,0.22,0,Light,5.82,98.98,36.47,57.42,52.67,2023-06-28 15:01:36,active,76.32,0.913,25.3,540.13,0.9,5.08,99.57,2.32,0,0
2023-09-12 12:31:36.333851,785.01,396.02,116.11,0.44,closed,1876.98,3.35,0.22,0,Heavy,7.41,96.53,75.35,66.67,45.32,2023-06-28 15:01:36,inactive,63.25,0.897,17.78,452.9,1.05,3.14,99.56,2.28,1,0
2023-09-12 13:01:36.333851,742.8,360.32,94.9,0.45,open,1830.98,2.22,0.23,0,Medium,6.83,90.09,41.98,67.37,45.48,2023-06-28 15:01:36,inactive,78.88,0.854,18.11,557.54,1.01,4.79,99.55,1.95,0,0
2023-09-12 13:31:36.333851,793.71,517.27,105.97,0.46,open,1804.91,3.19,0.23,0,Light,1.98,94.14,54.87,80.17,44.63,2023-06-28 15:01:36,inactive,82.71,0.793,14.4,538.76,1.07,3.84,99.54,2.3,0,0
2023-09-12 14:01:36.333851,771.23,417.98,103.33,0.47,open,1823.43,3.07,0.24,0,Medium,6.67,85.97,46.82,67.06,37.15,2023-06-28 15:01:36,active,81.4,0.892,23.6,459.17,1.02,4.8,99.53,1.99,0,0
2023-09-12 14:31:36.333851,793.97,404.59,89.26,0.48,closed,1614.81,3.17,0.24,0,Light,4.69,97.24,50.17,77.48,54.77,2023-06-28 15:01:36,inactive,84.54,0.861,19.44,619.85,1.09,4.84,99.52,1.96,0,0
2023-09-12 15:01:36.333851,815.74,476.37,110.71,0.49,open,1749.26,4.06,0.25,0,Light,3.84,91.81,50.82,70.7,46.22,2023-06-28 15:01:36,inactive,76.95,1.022,19.09,536.09,1.0,5.5,99.51,1.9,0,0
2023-09-12 15:31:36.333851,777.93,376.91,118.03,0.5,open,1720.87,3.67,0.25,0,Light,3.34,85.77,52.51,81.02,42.08,2023-06-28 15:01:36,inactive,81.61,0.885,20.46,460.58,0.98,6.31,99.5,1.48,0,0
2023-09-12 16:01:36.333851,817.91,424.42,102.72,0.51,open,1744.02,3.86,0.26,0,Medium,5.18,87.88,56.7,83.01,61.76,2023-06-28 15:01:36,inactive,70.34,0.877,25.11,430.35,1.02,4.26,99.49,2.71,0,0
2023-09-12 16:31:36.333851,797.69,424.4,89.17,0.52,closed,1929.33,3.68,0.26,0,Light,3.0,89.52,50.02,78.57,54.8,2023-06-28 15:01:36,active,96.13,0.882,14.09,485.14,1.04,4.9,99.48,1.19,0,0
2023-09-12 17:01:36.333851,728.6,352.88,76.09,0.53,closed,1837.24,2.96,0.27,0,Heavy,7.62,91.84,62.89,49.38,56.59,2023-06-28 15:01:36,inactive,87.02,0.867,16.91,514.0,1.09,5.86,99.47,2.16,0,0
2023-09-12 17:31:36.333851,792.43,454.38,118.18,0.54,open,1719.07,3.28,0.27,0,Medium,6.5,89.5,58.43,90.45,60.23,2023-06-28 15:01:36,active,79.11,0.905,27.65,472.11,1.01,4.67,99.46,1.64,0,0
2023-09-12 18:01:36.333851,809.63,428.52,101.15,0.55,open,1894.41,2.37,0.28,0,Heavy,6.32,89.86,49.82,59.7,47.6,2023-06-28 15:01:36,active,76.17,0.993,20.42,533.99,1.06,2.51,99.45,2.08,0,0
2023-09-12 18:31:36.333851,823.39,382.27,114.58,0.56,closed,1923.09,3.26,0.28,0,Light,4.15,93.75,59.84,73.78,42.09,2023-06-28 15:01:36,inactive,83.67,0.956,23.3,458.49,1.07,6.22,99.44,2.2,1,0
2023-09-12 19:01:36.333851,796.66,400.91,119.97,0.57,closed,1744.17,3.68,0.29,0,Light,1.1,85.21,49.47,69.69,61.81,2023-06-28 15:01:36,inactive,79.16,0.892,19.1,499.14,0.97,5.72,99.43,2.22,0,0
2023-09-12 19:31:36.333851,771.72,462.13,116.84,0.58,closed,1640.15,3.57,0.29,0,Light,7.81,91.6,33.99,66.5,40.83,2023-06-28 15:01:36,active,75.83,0.871,18.85,469.87,0.91,5.68,99.42,2.89,0,0
2023-09-12 20:01:36.333851,844.11,358.95,115.85,0.59,open,1873.34,2.68,0.3,0,Medium,7.97,82.57,48.67,79.08,54.84,2023-06-28 15:01:36,active,92.47,0.839,21.34,536.17,1.11,4.62,99.41,2.45,0,0
2023-09-12 20:31:36.333851,845.74,366.27,122.91,0.6,closed,1986.12,2.66,0.3,0,Medium,6.19,92.9,56.11,81.45,40.27,2023-06-28 15:01:36,inactive,74.02,0.929,21.88,480.01,0.95,6.58,99.4,2.57,0,0
2023-09-12 21:01:36.333851,767.03,417.71,86.53,0.61,closed,1748.37,2.46,0.31,0,Heavy,4.8,84.24,56.48,62.94,65.07,2023-06-28 15:01:36,active,85.15,0.891,10.98,468.94,0.97,5.29,99.39,2.26,0,0
2023-09-12 21:31:36.333851,782.61,332.79,81.41,0.62,open,1706.54,2.86,0.31,0,Medium,0.26,91.52,53.03,62.31,53.92,2023-06-28 15:01:36,inactive,83.28,0.94,23.13,514.82,0.96,3.71,99.38,1.67,1,0
2023-09-12 22:01:36.333851,769.46,394.99,99.06,0.63,open,1774.63,3.32,0.32,0,Heavy,4.03,95.4,56.54,93.97,49.92,2023-06-28 15:01:36,active,81.39,0.864,23.48,439.09,1.07,3.22,99.37,2.32,0,0
2023-09-12 22:31:36.333851,866.04,375.43,94.36,0.64,closed,1722.71,2.83,0.32,0,Heavy,7.64,88.67,47.33,71.93,41.76,2023-06-28 15:01:36,inactive,90.19,0.866,20.38,386.83,0.75,3.62,99.36,0.95,0,0
2023-09-12 23:01:36.333851,798.37,412.91,88.0,0.65,open,1657.74,2.57,0.33,0,Heavy,3.19,93.81,70.23,59.87,39.29,2023-06-28 15:01:36,inactive,79.4,0.801,22.87,600.27,1.1,5.19,99.35,2.76,0,0
2023-09-12 23:31:36.333851,819.41,422.17,116.01,0.66,closed,1821.92,3.04,0.33,0,Heavy,4.64,87.79,35.23,63.05,42.28,2023-06-28 15:01:36,inactive,88.66,0.915,23.88,507.46,0.86,5.45,99.34,1.98,1,0
2023-09-13 00:01:36.333851,801.6,406.09,127.12,0.67,closed,1725.69,3.11,0.34,0,Heavy,4.27,83.61,52.49,66.57,41.91,2023-06-28 15:01:36,inactive,99.63,0.98,19.91,573.72,1.09,7.36,99.33,1.82,0,0
2023-09-13 00:31:36.333851,844.9,362.65,105.84,0.68,closed,1712.46,3.85,0.34,0,Light,1.95,86.77,65.21,49.1,48.42,2023-06-28 15:01:36,active,100.6,0.938,30.08,468.81,0.89,4.68,99.32,2.34,0,0
2023-09-13 01:01:36.333851,805.26,388.51,86.56,0.69,open,1727.59,3.76,0.35,0,Light,4.08,88.6,34.23,72.51,66.19,2023-06-28 15:01:36,inactive,91.52,0.865,28.32,548.81,1.08,5.61,99.31,1.6,0,0
2023-09-13 01:31:36.333851,818.94,357.32,130.29,0.7,open,1858.13,2.47,0.35,0,Light,5.66,91.2,45.84,72.43,56.58,2023-06-28 15:01:36,inactive,84.08,0.906,20.75,498.28,0.98,2.55,99.3,3.09,0,0
2023-09-13 02:01:36.333851,869.52,356.85,101.21,0.71,closed,1825.42,2.39,0.36,0,Light,4.3,89.45,55.34,90.59,40.13,2023-06-28 15:01:36,active,75.1,0.892,21.67,534.48,1.05,4.73,99.29,2.39,0,0
2023-09-13 02:31:36.333851,865.13,305.71,88.1,0.72,open,1748.73,2.22,0.36,0,Light,8.77,83.73,27.07,68.96,50.15,2023-06-28 15:01:36,inactive,83.18,0.9,23.02,568.18,0.92,5.84,99.28,1.41,0,0
2023-09-13 03:01:36.333851,812.41,404.38,96.43,0.73,closed,1807.29,2.73,0.37,0,Light,6.54,85.15,48.91,80.65,46.38,2023-06-28 15:01:36,active,81.53,0.896,18.17,509.77,1.11,5.7,99.27,2.49,0,0
2023-09-13 03:31:36.333851,777.35,402.76,89.11,0.74,open,1672.65,2.46,0.37,0,Light,3.46,87.46,57.3,67.14,42.97,2023-06-28 15:01:36,active,80.29,0.934,21.95,470.63,1.0,5.3,99.26,1.87,0,0
2023-09-13 04:01:36.333851,815.11,373.66,114.16,0.75,closed,1889.37,2.53,0.38,0,Light,2.77,97.47,50.39,76.77,54.01,2023-06-28 15:01:36,inactive,83.71,0.94,25.75,524.79,1.06,5.28,99.25,1.73,0,0
2023-09-13 04:31:36.333851,829.11,416.45,103.9,0.76,open,1703.71,3.14,0.38,0,Heavy,3.82,91.24,55.24,73.99,58.13,2023-06-28 15:01:36,inactive,72.13,0.96,20.4,473.15,1.05,5.64,99.24,2.38,0,0
2023-09-13 05:01:36.333851,798.89,381.49,101.87,0.77,closed,1933.5,2.97,0.39,0,Medium,3.22,92.02,34.2,59.13,48.3,2023-06-28 15:01:36,active,66.71,0.95,18.45,452.73,0.84,4.21,99.23,1.87,0,0
2023-09-13 05:31:36.333851,864.79,355.93,100.01,0.78,closed,1755.37,2.29,0.39,0,Light,4.32,75.87,55.89,71.57,34.22,2023-06-28 15:01:36,inactive,81.91,0.908,20.3,413.6,1.01,4.97,99.22,1.99,0,0
2023-09-13 06:01:36.333851,799.38,418.08,88.81,0.79,open,1703.66,2.81,0.4,0,Heavy,4.94,87.28,65.16,88.7,51.53,2023-06-28 15:01:36,active,79.03,0.834,17.06,458.83,0.91,4.06,99.21,1.08,0,0
2023-09-13 06:31:36.333851,816.85,384.43,96.26,0.8,open,1810.18,3.35,0.4,0,Heavy,2.65,85.62,43.37,72.14,39.79,2023-06-28 15:01:36,active,87.37,0.843,22.1,530.18,1.03,4.99,99.2,2.28,0,0
2023-09-13 07:01:36.333851,773.87,304.92,90.03,0.81,open,1766.72,2.95,0.41,0,Heavy,5.03,87.13,51.89,49.31,47.61,2023-06-28 15:01:36,inactive,83.91,0.79,22.16,572.19,0.93,5.04,99.19,1.64,0,0
2023-09-13 07:31:36.333851,804.0,354.56,113.85,0.82,open,1771.41,3.14,0.41,0,Light,5.63,92.76,35.01,75.76,57.87,2023-06-28 15:01:36,active,69.34,0.938,17.54,497.96,0.92,4.44,99.18,1.49,1,0
2023-09-13 08:01:36.333851,803.08,430.69,113.44,0.83,closed,1734.37,3.11,0.42,0,Medium,8.84,91.72,46.8,74.74,35.9,2023-06-28 15:01:36,active,71.87,0.889,19.18,482.9,0.92,5.99,99.17,2.43,0,0
2023-09-13 08:31:36.333851,779.34,451.71,85.59,0.84,open,1814.88,2.31,0.42,0,Light,4.55,90.58,55.83,49.5,45.85,2023-06-28 15:01:36,active,89.68,0.899,22.19,590.29,1.08,4.83,99.16,2.8,0,0
2023-09-13 09:01:36.333851,808.63,425.22,106.51,0.85,open,1751.22,2.01,0.43,0,Medium,5.29,95.21,59.74,60.32,50.41,2023-06-28 15:01:36,inactive,73.0,0.872,15.36,499.69,1.15,4.41,99.15,2.03,0,0
2023-09-13 09:31:36.333851,839.05,468.48,113.18,0.86,open,1960.29,3.27,0.43,0,Light,6.74,85.43,47.6,101.59,48.28,2023-06-28 15:01:36,active,93.5,0.943,17.95,452.32,1.05,5.83,99.14,2.23,1,0
2023-09-13 10:01:36.333851,803.06,479.98,85.95,0.87,open,1755.78,3.51,0.44,0,Heavy,7.53,84.18,43.63,72.75,41.64,2023-06-28 15:01:36,active,104.01,0.909,17.74,478.24,1.06,4.87,99.13,2.2,0,0
2023-09-13 10:31:36.333851,853.91,546.42,116.53,0.88,closed,1864.38,4.03,0.44,0,Heavy,4.89,90.58,37.05,74.82,39.55,2023-06-28 15:01:36,inactive,93.22,0.833,14.33,423.67,1.1,5.62,99.12,1.78,1,0
2023-09-13 11:01:36.333851,804.93,449.19,106.31,0.89,open,1477.2,3.1,0.45,1,Heavy,4.34,92.12,53.36,69.42,58.7,2023-06-28 15:01:36,active,99.07,0.855,18.46,507.81,1.23,2.29,99.11,1.76,0,0
2023-09-13 11:31:36.333851,751.49,366.44,84.11,0.9,closed,1808.63,3.56,0.45,0,Medium,3.93,87.89,42.98,77.39,59.45,2023-06-28 15:01:36,active,80.39,0.936,21.75,553.96,1.02,6.59,99.1,2.29,0,0
2023-09-13 12:01:36.333851,812.63,405.82,97.18,0.91,open,1805.72,3.68,0.46,0,Heavy,3.92,89.85,54.77,58.27,46.85,2023-06-28 15:01:36,active,76.53,0.947,22.29,570.72,1.05,6.23,99.09,3.02,0,0
2023-09-13 12:31:36.333851,788.57,464.46,84.64,0.92,open,1690.02,2.91,0.46,0,Heavy,3.72,80.64,54.25,65.9,35.81,2023-06-28 15:01:36,inactive,88.43,1.013,19.97,331.12,1.29,5.02,99.08,2.51,0,0
2023-09-13 13:01:36.333851,839.79,435.42,88.76,0.93,closed,1797.3,2.79,0.47,0,Heavy,6.67,100.1,65.96,69.7,60.27,2023-06-28 15:01:36,active,103.45,0.965,24.51,450.58,1.14,6.44,99.07,2.31,0,0
2023-09-13 13:31:36.333851,824.23,378.03,82.71,0.94,closed,1908.01,2.86,0.47,0,Light,1.27,97.57,64.08,68.5,48.76,2023-06-28 15:01:36,active,90.59,0.837,34.27,598.03,1.0,5.16,99.06,2.06,0,0
2023-09-13 14:01:36.333851,827.53,422.25,98.28,0.95,closed,1761.09,3.45,0.48,0,Light,6.2,96.13,69.77,82.75,56.33,2023-06-28 15:01:36,active,75.54,0.867,16.55,464.6,0.99,4.52,99.05,1.93,0,0
2023-09-13 14:31:36.333851,787.26,357.89,99.73,0.96,open,1740.41,2.71,0.48,0,Heavy,8.58,85.73,58.29,72.05,43.04,2023-06-28 15:01:36,inactive,89.86,0.848,21.95,488.02,0.86,2.73,99.04,1.47,1,0
2023-09-13 15:01:36.333851,782.6,420.31,120.31,0.97,open,1935.51,3.49,0.49,0,Medium,7.43,93.88,75.11,68.44,64.68,2023-06-28 15:01:36,inactive,72.2,0.925,16.64,520.69,1.11,4.03,99.03,0.73,0,0
2023-09-13 15:31:36.333851,823.45,392.94,80.73,0.98,closed,1678.14,3.1,0.49,0,Light,6.22,90.5,50.08,87.07,37.78,2023-06-28 15:01:36,inactive,65.54,0.906,20.82,558.62,1.0,5.35,99.02,2.09,0,0
2023-09-13 16:01:36.333851,795.02,410.41,129.39,0.99,closed,1636.55,2.71,0.5,0,Heavy,6.57,81.73,25.61,66.83,47.26,2023-06-28 15:01:36,active,71.7,0.847,14.85,553.73,0.96,5.62,99.01,2.99,0,0
2023-09-13 16:31:36.333851,789.48,375.03,98.63,1.0,open,1769.43,3.77,0.5,0,Light,2.37,88.28,64.51,78.63,56.54,2023-06-28 15:01:36,inactive,78.65,0.888,14.86,467.43,0.99,3.21,99.0,2.44,0,0
2023-09-13 17:01:36.333851,787.72,449.49,75.76,1.01,closed,1950.42,2.84,0.51,0,Medium,5.67,86.31,64.96,73.75,58.06,2023-06-28 15:01:36,inactive,74.07,0.901,16.1,516.01,0.96,5.71,98.99,1.89,1,0
2023-09-13 17:31:36.333851,782.87,444.69,117.64,1.02,closed,1734.31,2.95,0.51,0,Heavy,7.52,97.25,54.56,78.77,46.79,2023-06-28 15:01:36,active,80.73,0.881,19.5,481.04,0.97,4.78,98.98,1.45,0,0
2023-09-13 18:01:36.333851,805.14,413.71,122.45,1.03,open,1634.84,3.6,0.52,0,Heavy,3.33,82.51,47.55,73.46,32.12,2023-06-28 15:01:36,active,63.33,0.922,16.54,480.12,0.96,6.11,98.97,1.77,0,0
2023-09-13 18:31:36.333851,821.84,488.1,84.36,1.04,open,1871.75,3.78,0.52,0,Heavy,6.13,95.54,57.05,54.71,52.48,2023-06-28 15:01:36,active,80.77,0.951,24.33,552.77,1.16,4.07,98.96,1.7,0,0
2023-09-13 19:01:36.333851,819.97,283.95,111.6,1.05,open,1766.7,2.42,0.53,0,Light,6.8,85.54,46.57,63.79,30.21,2023-06-28 15:01:36,active,63.86,0.781,20.63,485.16,0.89,5.42,98.95,1.86,0,0
2023-09-13 19:31:36.333851,886.0,490.04,71.71,1.06,open,1859.26,3.13,0.53,0,Medium,7.34,88.12,46.47,79.88,32.66,2023-06-28 15:01:36,active,92.02,0.989,8.97,486.45,0.98,5.43,98.94,2.85,0,0
2023-09-13 20:01:36.333851,868.51,372.77,82.97,1.07,open,1701.03,2.8,0.54,0,Heavy,5.82,78.18,57.07,57.61,50.25,2023-06-28 15:01:36,active,85.19,0.906,13.04,524.42,0.98,5.39,98.93,1.77,0,0
